ISS024-E-5369,49.0,-109.1
ISS024-E-5370,48.7,-108.1
ISS024-E-5371,48.5,-107.2
ISS024-E-5372,48.2,-106.2
ISS024-E-5373,47.9,-105.1
ISS024-E-5374,47.5,-103.7
ISS024-E-5375,47.0,-102.4
ISS024-E-5376,46.7,-101.4
ISS024-E-5377,46.1,-99.8
ISS024-E-5378,45.6,-98.4
ISS024-E-5379,45.2,-97.5
ISS024-E-5380,44.8,-96.4
ISS024-E-5381,44.3,-95.3
ISS024-E-5382,43.6,-93.6
ISS024-E-5383,42.8,-92.1
ISS024-E-5384,42.3,-91.1
ISS024-E-5385,41.7,-89.8
ISS024-E-5386,40.9,-88.5
ISS024-E-5387,40.3,-87.5
ISS024-E-5388,39.6,-86.2
ISS024-E-5389,39.0,-85.3
ISS024-E-5390,38.4,-84.3
ISS024-E-5391,37.5,-82.9
ISS024-E-5392,36.6,-81.8
ISS024-E-5393,35.8,-80.6
ISS024-E-5394,35.1,-79.6
ISS024-E-5395,34.6,-79.1
ISS024-E-5396,34.2,-78.5
ISS024-E-5397,33.3,-77.4
ISS024-E-5398,32.6,-76.5
ISS024-E-5399,31.9,-75.8
ISS024-E-5400,31.3,-75.0
ISS024-E-5401,30.8,-74.4
ISS024-E-5402,29.8,-73.4
ISS024-E-5403,29.2,-72.7
ISS024-E-5404,28.5,-72.1
ISS024-E-5405,27.9,-71.4
ISS024-E-5406,27.3,-70.8
ISS024-E-5407,26.7,-70.2
ISS024-E-5408,26.1,-69.6
ISS024-E-5409,25.6,-69.1
ISS024-E-5410,25.0,-68.6
ISS024-E-5411,24.3,-67.9
ISS024-E-5412,23.4,-67.1
ISS024-E-5413,22.6,-66.3
ISS024-E-5414,22.0,-65.8
ISS024-E-5415,20.8,-64.8
ISS024-E-5416,20.0,-64.1
ISS024-E-5417,19.1,-63.4
ISS024-E-5418,18.4,-62.8
ISS024-E-5419,17.4,-61.9
ISS024-E-5420,16.8,-61.4
ISS024-E-5421,16.1,-60.9
ISS024-E-5422,15.0,-60.1
ISS024-E-5423,14.3,-59.5
ISS024-E-5424,13.8,-59.1
ISS024-E-5425,13.0,-58.5
ISS024-E-5426,12.2,-58.0
ISS024-E-5427,11.5,-57.4
ISS024-E-5428,10.9,-57.0
ISS024-E-5429,10.1,-56.4
ISS024-E-5430,9.4,-55.9
ISS024-E-5431,8.7,-55.3
ISS024-E-5432,8.2,-54.9
ISS024-E-5433,7.4,-54.4
ISS024-E-5434,6.6,-53.8
ISS024-E-5435,5.9,-53.3
ISS024-E-5436,5.1,-52.7
ISS024-E-5437,4.2,-52.1
ISS024-E-5438,-0.8,-48.6
ISS024-E-5439,-2.2,-47.6
ISS024-E-5440,-3.2,-46.9
ISS024-E-5441,-4.0,-46.3
ISS024-E-5442,-4.8,-45.8
ISS024-E-5443,-5.4,-45.3
ISS024-E-5444,-6.5,-44.5
ISS024-E-5445,-7.7,-43.7
ISS024-E-5446,-8.6,-43.0
ISS024-E-5447,-9.6,-42.3
ISS024-E-5448,-10.5,-41.6
ISS024-E-5449,-11.3,-41.0
ISS024-E-5450,-13.7,-39.2
ISS024-E-5451,-14.0,-38.9
ISS024-E-5932,40.8,-95.4
ISS024-E-5933,40.2,-94.4
ISS024-E-5934,39.9,-93.9
ISS024-E-5935,39.4,-93.1
ISS024-E-5936,38.9,-92.2
ISS024-E-5937,38.4,-91.4
ISS024-E-5938,37.7,-90.4
ISS024-E-5939,37.4,-90.0
ISS024-E-5940,37.1,-89.5
ISS024-E-5941,36.8,-89.1
ISS024-E-5942,36.3,-88.4
ISS024-E-5943,35.7,-87.6
ISS024-E-5944,35.0,-86.7
ISS024-E-5945,34.7,-86.2
ISS024-E-5946,34.1,-85.4
ISS024-E-5947,33.3,-84.5
ISS024-E-5948,32.5,-83.5
ISS024-E-5949,32.2,-83.2
ISS024-E-5950,31.7,-82.6
ISS024-E-5951,31.2,-82.0
ISS024-E-5952,30.5,-81.3
ISS024-E-5953,29.8,-80.5
ISS024-E-5954,29.3,-79.9
ISS024-E-5955,28.4,-79.0
ISS024-E-5956,27.7,-78.3
ISS024-E-5957,26.6,-77.2
ISS024-E-5958,25.5,-76.2
ISS024-E-5959,24.7,-75.4
ISS024-E-5960,23.8,-74.6
ISS024-E-5961,22.9,-73.7
ISS024-E-5962,22.1,-73.0
ISS024-E-5963,21.3,-72.3
ISS024-E-5964,20.4,-71.6
ISS024-E-5965,19.7,-71.0
ISS024-E-5966,18.8,-70.2
ISS024-E-5967,18.0,-69.6
ISS024-E-5968,17.4,-69.0
ISS024-E-5969,16.2,-68.1
ISS024-E-5970,15.1,-67.2
ISS024-E-5971,14.2,-66.5
ISS024-E-5972,13.3,-65.8
ISS024-E-5973,12.4,-65.2
ISS024-E-5974,11.5,-64.5
ISS024-E-5975,10.6,-63.8
ISS024-E-5976,9.9,-63.3
ISS024-E-5977,9.0,-62.7
ISS024-E-5978,8.1,-62.0
ISS024-E-5979,7.4,-61.5
ISS024-E-5980,6.4,-60.8
ISS024-E-5981,5.7,-60.3
ISS024-E-5982,4.9,-59.7
ISS024-E-5983,4.2,-59.2
ISS024-E-5984,3.2,-58.5
ISS024-E-5985,2.3,-57.9
ISS024-E-5986,1.2,-57.1
ISS024-E-5987,0.2,-56.4
ISS024-E-5988,-0.6,-55.8
ISS024-E-5989,-1.9,-54.9
ISS024-E-5990,-2.9,-54.2
ISS024-E-5991,-3.4,-53.8
ISS024-E-5992,-4.5,-53.0
ISS024-E-5993,-5.0,-52.7
ISS024-E-5994,-5.7,-52.2
ISS024-E-5995,-6.6,-51.6
ISS024-E-5996,-7.4,-50.9
ISS024-E-5997,-8.0,-50.5
ISS024-E-5998,-8.6,-50.1
ISS024-E-5999,-9.3,-49.6
ISS024-E-6000,-10.1,-49.0
