ISS023-E-5265,-22.8,-64.9
ISS023-E-5266,-22.3,-64.5
ISS023-E-5267,47.5,7.2
ISS023-E-5268,47.6,7.3
ISS023-E-5269,47.6,7.5
ISS023-E-5270,47.7,7.6
ISS023-E-5271,47.7,7.7
ISS023-E-5272,47.7,7.8
ISS023-E-5273,47.7,7.9
ISS023-E-5274,47.8,8.0
ISS023-E-5275,47.8,8.1
ISS023-E-5276,47.8,8.2
ISS023-E-5277,47.9,8.3
ISS023-E-5278,47.9,8.4
ISS023-E-5279,49.8,16.0
ISS023-E-5280,49.8,16.2
ISS023-E-5344,46.7,-18.5
ISS023-E-5345,46.9,-18.0
ISS023-E-5346,47.3,-16.7
ISS023-E-5347,49.9,-6.7
ISS023-E-5348,49.9,-6.6
ISS023-E-5349,49.9,-6.5
ISS023-E-5350,50.5,-3.4
ISS023-E-5351,50.7,-2.2
ISS023-E-5352,50.7,-1.7
ISS023-E-5353,50.1,-28.8
ISS023-E-5354,50.3,-27.8
ISS023-E-5355,15.8,-105.7
ISS023-E-5356,16.1,-105.5
ISS023-E-5357,16.4,-105.3
ISS023-E-5358,17.6,-104.3
ISS023-E-5359,17.7,-104.3
ISS023-E-5360,18.1,-103.9
ISS023-E-5361,18.8,-103.3
ISS023-E-5362,21.5,-101.0
ISS023-E-5363,21.8,-100.8
ISS023-E-5364,21.9,-100.7
ISS023-E-5365,22.0,-100.6
ISS023-E-5366,27.7,-95.3
ISS023-E-5367,27.7,-95.2
ISS023-E-5368,27.8,-95.1
ISS023-E-5369,28.7,-94.2
ISS023-E-5370,28.7,-94.2
ISS023-E-5371,29.0,-93.9
ISS023-E-5372,29.1,-93.8
ISS023-E-5373,29.3,-93.6
ISS023-E-5374,29.6,-93.2
ISS023-E-5375,29.7,-93.1
ISS023-E-5376,33.9,-88.3
ISS023-E-5377,34.3,-87.8
ISS023-E-5378,34.7,-87.3
ISS023-E-5379,34.9,-87.0
ISS023-E-5380,36.4,-85.0
ISS023-E-5381,36.5,-84.9
ISS023-E-5382,36.6,-84.7
ISS023-E-5383,36.9,20.1
ISS023-E-5384,37.0,20.2
ISS023-E-5385,37.1,20.3
ISS023-E-5386,37.3,20.6
ISS023-E-5387,37.4,20.8
ISS023-E-5388,37.5,20.9
ISS023-E-5389,39.6,24.1
ISS023-E-5390,39.7,24.3
ISS023-E-5391,39.8,24.5
ISS023-E-5392,39.9,24.7
ISS023-E-5393,40.0,24.8
ISS023-E-5394,41.8,28.0
ISS023-E-5395,41.9,28.2
ISS023-E-5396,43.4,31.2
ISS023-E-5397,43.4,31.3
ISS023-E-5398,43.5,31.4
ISS023-E-5399,43.6,31.7
ISS023-E-5400,43.8,32.0
ISS023-E-5401,43.8,32.0
ISS023-E-5402,44.1,32.6
ISS023-E-5403,44.1,32.7
ISS023-E-5404,44.3,33.2
ISS023-E-5405,48.2,44.2
ISS023-E-5406,48.3,44.4
ISS023-E-5407,48.4,44.6
ISS023-E-5408,48.6,45.5
ISS023-E-5409,48.7,45.8
ISS023-E-5410,-51.0,-107.1
ISS023-E-5411,-50.9,-106.6
ISS023-E-5412,-47.9,-92.1
ISS023-E-5413,-47.8,-91.9
ISS023-E-5414,-41.6,-76.7
ISS023-E-5415,-39.8,-73.7
ISS023-E-5416,-39.7,-73.5
ISS023-E-5417,-39.3,-72.8
ISS023-E-5418,-39.3,-72.8
ISS023-E-5419,-39.0,-72.4
ISS023-E-5420,-34.8,-66.3
ISS023-E-5421,-31.4,-62.2
ISS023-E-5422,-30.9,-61.7
ISS023-E-5423,-23.8,-54.5
ISS023-E-5424,-23.7,-54.4
ISS023-E-5425,-23.6,-54.3
ISS023-E-5426,-23.5,-54.2
ISS023-E-5427,-23.4,-54.2
ISS023-E-5428,-21.5,-52.4
ISS023-E-5429,-21.4,-52.3
ISS023-E-5430,-21.1,-52.1
