NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
HD 86081 b,2.1375,0.0346186,,Johnson 2006,http://adsabs.harvard.edu/abs/2006ApJ...647..600J,b,HD 86081
WASP-48 b,2.143634,0.034488,18.718997820667596,Enoch 2011,http://adsabs.harvard.edu/abs/2011AJ....142...86E,b,WASP-48
Pr 211 b,2.1451,0.0320419,,Quinn 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..33Q,b,Pr 211
HAT-P-32 b,2.150009,0.0344203,22.832693748922093,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,b,HAT-P-32
WASP-2 b,2.1522254,0.0312729,12.072072247220959,Collier-Cameron 2007,http://adsabs.harvard.edu/abs/2007MNRAS.375..951C,b,WASP-2
WASP-78 b,2.17517656,0.0361391,19.055267242595757,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,b,WASP-78
HAT-P-7 b,2.204737,0.037964,15.277840736269422,Pal 2008,http://adsabs.harvard.edu/abs/2008ApJ...680.1450P,b,HAT-P-7
WASP-72 b,2.216726,0.036575,11.321070538248067,Gillon 2013,http://adsabs.harvard.edu/abs/2013A%26A...552A..82G,b,WASP-72
HD 189733 b,2.21857567,0.0309953,12.755820071808216,Bouchy 2005,http://adsabs.harvard.edu/abs/2005A%26A...444L..15B,b,HD 189733
WASP-14 b,2.243752,0.0367693,14.35870431633245,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,b,WASP-14
HD 212301 b,2.245715,0.034116,,Lo Curto 2006,http://adsabs.harvard.edu/abs/2006A%26A...451..345L,b,HD 212301
WASP-24 b,2.3412127,0.0365155,14.571674950220284,Street 2010,http://adsabs.harvard.edu/abs/2010ApJ...720..337S,b,WASP-24
WASP-44 b,2.4238039,0.0347371,12.778238033270094,Anderson 2012,http://adsabs.harvard.edu/abs/2012MNRAS.422.1988A,b,WASP-44
Kepler-45 b,2.455239,0.0298817,10.760621501701133,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-45
TrES-2 b,2.47063,0.0355765,13.719792414668945,O'Donovan 2006,http://adsabs.harvard.edu/abs/2006ApJ...651L..61O,b,TrES-2
OGLE2-TR-L9 b,2.4855335,0.0413279,18.046458976811277,Snellen 2009,http://adsabs.harvard.edu/abs/2009A%26A...497..545S,b,OGLE2-TR-L9
WASP-1 b,2.5199449,0.0385203,16.99281478810304,Collier-Cameron 2007,http://adsabs.harvard.edu/abs/2007MNRAS.375..951C,b,WASP-1
HD 73256 b,2.5485799,0.0371348,,Udry 2003,http://adsabs.harvard.edu/abs/2003A%26A...407..679U,b,HD 73256
XO-2 b,2.615838,0.0368367,11.018428058512722,Burke 2007,http://adsabs.harvard.edu/abs/2007ApJ...671.2115B,b,XO-2
GJ 436 b,2.64385,0.0287188,4.222423041344601,Butler 2004,http://adsabs.harvard.edu/abs/2004ApJ...617..580B,b,GJ 436
GJ 3634 b,2.64561,0.0286881,,Bonfils 2011,http://adsabs.harvard.edu/abs/2011A%26A...528A.111B,b,GJ 3634
